File Type,Original Name,New Name,Error
Main PDF,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024.pdf,1-800-GOT-JUNK LLC_2024.pdf,File not found
JSON,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024_FranchiseInfo.json,1-800-GOT-JUNK LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024_Items1-23.pdf,1-800-GOT-JUNK LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024_Items1-23.pdf,1-800-GOT-JUNK LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024.pdf,1-800-RADIATOR FRANCHISOR SPV LLC_2024.pdf,File not found
JSON,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024_FranchiseInfo.json,1-800-RADIATOR FRANCHISOR SPV LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024_Items1-23.pdf,1-800-RADIATOR FRANCHISOR SPV LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024_Items1-23.pdf,1-800-RADIATOR FRANCHISOR SPV LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,1-800-Services_LLC_1-800-Plumber_2024.pdf,"1-800-SERVICES, LLC_2024.pdf",File not found
JSON,1-800-Services_LLC_1-800-Plumber_2024_FranchiseInfo.json,"1-800-SERVICES, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,1-800-Services_LLC_1-800-Plumber_2024_Items1-23.pdf,"1-800-SERVICES, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,1-800-Services_LLC_1-800-Plumber_2024_Items1-23.pdf,"1-800-SERVICES, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,1-800-Textiles_Franchises_LLC_1-800-Textiles_2024.pdf,"1-800-TEXTILES FRANCHISES, LLC_2024.pdf",File not found
JSON,1-800-Textiles_Franchises_LLC_1-800-Textiles_2024_FranchiseInfo.json,"1-800-TEXTILES FRANCHISES, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,1-800-Textiles_Franchises_LLC_1-800-Textiles_2024_Items1-23.pdf,"1-800-TEXTILES FRANCHISES, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,1-800-Textiles_Franchises_LLC_1-800-Textiles_2024_Items1-23.pdf,"1-800-TEXTILES FRANCHISES, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,1073355_Ontario_Limited_SCHOOLEY_MITCHELL®_2023.pdf,1073355 ONTARIO LIMITED_2023.pdf,File not found
JSON,1073355_Ontario_Limited_SCHOOLEY_MITCHELL®_2023_FranchiseInfo.json,1073355 ONTARIO LIMITED_2023_FranchiseInfo.json,File not found
Subfolder PDF,1073355_Ontario_Limited_SCHOOLEY_MITCHELL®_2023_Items1-23.pdf,1073355 ONTARIO LIMITED_2023_Items1-23.pdf,File not found in subfolder
Items PDF,1073355_Ontario_Limited_SCHOOLEY_MITCHELL®_2023_Items1-23.pdf,1073355 ONTARIO LIMITED_2023_Items1-23.pdf,File not found in Items folder
Main PDF,10X_Business_Advisor_Franchising_LLC_10X_Business_Advisor_2023.pdf,10X BUSINESS ADVISOR FRANCHISING LLC_2023.pdf,File not found
JSON,10X_Business_Advisor_Franchising_LLC_10X_Business_Advisor_2023_FranchiseInfo.json,10X BUSINESS ADVISOR FRANCHISING LLC_2023_FranchiseInfo.json,File not found
Subfolder PDF,10X_Business_Advisor_Franchising_LLC_10X_Business_Advisor_2023_Items1-23.pdf,10X BUSINESS ADVISOR FRANCHISING LLC_2023_Items1-23.pdf,File not found in subfolder
Items PDF,10X_Business_Advisor_Franchising_LLC_10X_Business_Advisor_2023_Items1-23.pdf,10X BUSINESS ADVISOR FRANCHISING LLC_2023_Items1-23.pdf,File not found in Items folder
Main PDF,16_Handles_Franchising_LLC_16_Handles_2024.pdf,"16 HANDLES FRANCHISING, LLC_2024.pdf",File not found
JSON,16_Handles_Franchising_LLC_16_Handles_2024_FranchiseInfo.json,"16 HANDLES FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,16_Handles_Franchising_LLC_16_Handles_2024_Items1-23.pdf,"16 HANDLES FRANCHISING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,16_Handles_Franchising_LLC_16_Handles_2024_Items1-23.pdf,"16 HANDLES FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,1800Packouts_Franchise_LLC_1-800-Packouts_2024.pdf,"1800PACKOUTS FRANCHISE, LLC_2024.pdf",File not found
JSON,1800Packouts_Franchise_LLC_1-800-Packouts_2024_FranchiseInfo.json,"1800PACKOUTS FRANCHISE, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,1800Packouts_Franchise_LLC_1-800-Packouts_2024_Items1-23.pdf,"1800PACKOUTS FRANCHISE, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,1800Packouts_Franchise_LLC_1-800-Packouts_2024_Items1-23.pdf,"1800PACKOUTS FRANCHISE, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,1HCS_Franchising_LLC_1Heart_Caregiver_Services_2024.pdf,1HCS FRANCHISING LLC_2024.pdf,File not found
JSON,1HCS_Franchising_LLC_1Heart_Caregiver_Services_2024_FranchiseInfo.json,1HCS FRANCHISING LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,1HCS_Franchising_LLC_1Heart_Caregiver_Services_2024_Items1-23.pdf,1HCS FRANCHISING LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,1HCS_Franchising_LLC_1Heart_Caregiver_Services_2024_Items1-23.pdf,1HCS FRANCHISING LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,1st_Class_Franchising_LLC_1st_Class_Real_Estate_(Area_Rep)_2024.pdf,"1ST CLASS FRANCHISING, LLC_2024.pdf",File not found
JSON,1st_Class_Franchising_LLC_1st_Class_Real_Estate_(Area_Rep)_2024_FranchiseInfo.json,"1ST CLASS FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,1st_Class_Franchising_LLC_1st_Class_Real_Estate_(Area_Rep)_2024_Items1-23.pdf,"1ST CLASS FRANCHISING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,1st_Class_Franchising_LLC_1st_Class_Real_Estate_(Area_Rep)_2024_Items1-23.pdf,"1ST CLASS FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,1_800_FLOWERS_COM_FRANCHISE_CO_INC_1-800-FLOWERS;_1-800-FLOWERS_COM_2023.pdf,1 800 FLOWERS.COM FRANCHISE CO INC_2023.pdf,File not found
JSON,1_800_FLOWERS_COM_FRANCHISE_CO_INC_1-800-FLOWERS;_1-800-FLOWERS_COM_2023_FranchiseInfo.json,1 800 FLOWERS.COM FRANCHISE CO INC_2023_FranchiseInfo.json,File not found
Items PDF,1_800_FLOWERS_COM_FRANCHISE_CO_INC_1-800-FLOWERS;_1-800-FLOWERS_COM_2023_Items1-23.pdf,1 800 FLOWERS.COM FRANCHISE CO INC_2023_Items1-23.pdf,File not found in Items folder
Main PDF,1_800_WATER_DAMAGE_International_LLC_1-800_WATER_DAMAGE_2024.pdf,"1 800 WATER DAMAGE INTERNATIONAL, LLC_2024.pdf",File not found
JSON,1_800_WATER_DAMAGE_International_LLC_1-800_WATER_DAMAGE_2024_FranchiseInfo.json,"1 800 WATER DAMAGE INTERNATIONAL, LLC_2024_FranchiseInfo.json",File not found
Items PDF,1_800_WATER_DAMAGE_International_LLC_1-800_WATER_DAMAGE_2024_Items1-23.pdf,"1 800 WATER DAMAGE INTERNATIONAL, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,1_Percent_Lists_Franchises_LLC_1_Percent_Lists_2024.pdf,"1 PERCENT LISTS FRANCHISES, LLC_2024.pdf",File not found
JSON,1_Percent_Lists_Franchises_LLC_1_Percent_Lists_2024_FranchiseInfo.json,"1 PERCENT LISTS FRANCHISES, LLC_2024_FranchiseInfo.json",File not found
Items PDF,1_Percent_Lists_Franchises_LLC_1_Percent_Lists_2024_Items1-23.pdf,"1 PERCENT LISTS FRANCHISES, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,1_Tom_Plumber_Global_Inc_1_Tom_Plumber_2024.pdf,"1 TOM PLUMBER GLOBAL, INC._2024.pdf",File not found
JSON,1_Tom_Plumber_Global_Inc_1_Tom_Plumber_2024_FranchiseInfo.json,"1 TOM PLUMBER GLOBAL, INC._2024_FranchiseInfo.json",File not found
Items PDF,1_Tom_Plumber_Global_Inc_1_Tom_Plumber_2024_Items1-23.pdf,"1 TOM PLUMBER GLOBAL, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,2nd_Family_Franchising_LLC_2nd_Family_2024.pdf,"2ND FAMILY FRANCHISING, LLC_2024.pdf",File not found
JSON,2nd_Family_Franchising_LLC_2nd_Family_2024_FranchiseInfo.json,"2ND FAMILY FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,2nd_Family_Franchising_LLC_2nd_Family_2024_Items1-23.pdf,"2ND FAMILY FRANCHISING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,2nd_Family_Franchising_LLC_2nd_Family_2024_Items1-23.pdf,"2ND FAMILY FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,30_Minute_Hit_USA_LLC_30_Minute_Hit_2024.pdf,"30 MINUTE HIT USA, LLC_2024.pdf",File not found
JSON,30_Minute_Hit_USA_LLC_30_Minute_Hit_2024_FranchiseInfo.json,"30 MINUTE HIT USA, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,30_Minute_Hit_USA_LLC_30_Minute_Hit_2024_Items1-23.pdf,"30 MINUTE HIT USA, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,30_Minute_Hit_USA_LLC_30_Minute_Hit_2024_Items1-23.pdf,"30 MINUTE HIT USA, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,360BRANDS_INC_360clean_2024.pdf,"360BRANDS, INC._2024.pdf",File not found
JSON,360BRANDS_INC_360clean_2024_FranchiseInfo.json,"360BRANDS, INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,360BRANDS_INC_360clean_2024_Items1-23.pdf,"360BRANDS, INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,360BRANDS_INC_360clean_2024_Items1-23.pdf,"360BRANDS, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,360_Painting_LLC_360_Painting_2024.pdf,"360 PAINTING, LLC_2024.pdf",File not found
JSON,360_Painting_LLC_360_Painting_2024_FranchiseInfo.json,"360 PAINTING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,360_Painting_LLC_360_Painting_2024_Items1-23.pdf,"360 PAINTING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,360_Painting_LLC_360_Painting_2024_Items1-23.pdf,"360 PAINTING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,4Ever_Franchisor_LLC_4Ever_Young_2024.pdf,4EVER FRANCHISOR LLC_2024.pdf,File not found
JSON,4Ever_Franchisor_LLC_4Ever_Young_2024_FranchiseInfo.json,4EVER FRANCHISOR LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,4Ever_Franchisor_LLC_4Ever_Young_2024_Items1-23.pdf,4EVER FRANCHISOR LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,4Ever_Franchisor_LLC_4Ever_Young_2024_Items1-23.pdf,4EVER FRANCHISOR LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,76_Franchise_Group_LLC_(Regional_Developer)_76_Fence_(Regional_Developer)_2024.pdf,76 FRANCHISE GROUP LLC (REGIONAL DEVELOPER)_2024.pdf,File not found
JSON,76_Franchise_Group_LLC_(Regional_Developer)_76_Fence_(Regional_Developer)_2024_FranchiseInfo.json,76 FRANCHISE GROUP LLC (REGIONAL DEVELOPER)_2024_FranchiseInfo.json,File not found
Subfolder PDF,76_Franchise_Group_LLC_(Regional_Developer)_76_Fence_(Regional_Developer)_2024_Items1-23.pdf,76 FRANCHISE GROUP LLC (REGIONAL DEVELOPER)_2024_Items1-23.pdf,File not found in subfolder
Items PDF,76_Franchise_Group_LLC_(Regional_Developer)_76_Fence_(Regional_Developer)_2024_Items1-23.pdf,76 FRANCHISE GROUP LLC (REGIONAL DEVELOPER)_2024_Items1-23.pdf,File not found in Items folder
Main PDF,911_Restoration_Franchise_Inc_911_Restoration_2024.pdf,911 RESTORATION FRANCHISE INC._2024.pdf,File not found
JSON,911_Restoration_Franchise_Inc_911_Restoration_2024_FranchiseInfo.json,911 RESTORATION FRANCHISE INC._2024_FranchiseInfo.json,File not found
Subfolder PDF,911_Restoration_Franchise_Inc_911_Restoration_2024_Items1-23.pdf,911 RESTORATION FRANCHISE INC._2024_Items1-23.pdf,File not found in subfolder
Items PDF,911_Restoration_Franchise_Inc_911_Restoration_2024_Items1-23.pdf,911 RESTORATION FRANCHISE INC._2024_Items1-23.pdf,File not found in Items folder
Main PDF,9Round_Franchising_LLC_9Round_2024.pdf,"9ROUND FRANCHISING, LLC_2024.pdf",File not found
JSON,9Round_Franchising_LLC_9Round_2024_FranchiseInfo.json,"9ROUND FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Items PDF,9Round_Franchising_LLC_9Round_2024_Items1-23.pdf,"9ROUND FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,9Round_Holding_Company_LLC_I_LOVE_KICKBOXING_2024.pdf,"9ROUND HOLDING COMPANY, LLC_2024.pdf",File not found
JSON,9Round_Holding_Company_LLC_I_LOVE_KICKBOXING_2024_FranchiseInfo.json,"9ROUND HOLDING COMPANY, LLC_2024_FranchiseInfo.json",File not found
Items PDF,9Round_Holding_Company_LLC_I_LOVE_KICKBOXING_2024_Items1-23.pdf,"9ROUND HOLDING COMPANY, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,A&W_RESTAURANTS_INC_A&W_All_American_Food;_A&W_Restaurants_2024.pdf,A&W RESTAURANTS INC_2024.pdf,File not found
JSON,A&W_RESTAURANTS_INC_A&W_All_American_Food;_A&W_Restaurants_2024_FranchiseInfo.json,A&W RESTAURANTS INC_2024_FranchiseInfo.json,File not found
Subfolder PDF,A&W_RESTAURANTS_INC_A&W_All_American_Food;_A&W_Restaurants_2024_Items1-23.pdf,A&W RESTAURANTS INC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,A&W_RESTAURANTS_INC_A&W_All_American_Food;_A&W_Restaurants_2024_Items1-23.pdf,A&W RESTAURANTS INC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,A1_Kitchen_&_Bath_Franchising_LLC_The_Designery_2024.pdf,"A1 KITCHEN & BATH FRANCHISING, LLC_2024.pdf",File not found
JSON,A1_Kitchen_&_Bath_Franchising_LLC_The_Designery_2024_FranchiseInfo.json,"A1 KITCHEN & BATH FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,A1_Kitchen_&_Bath_Franchising_LLC_The_Designery_2024_Items1-23.pdf,"A1 KITCHEN & BATH FRANCHISING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,A1_Kitchen_&_Bath_Franchising_LLC_The_Designery_2024_Items1-23.pdf,"A1 KITCHEN & BATH FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,AAMCO_TRANSMISSIONS_LLC_AAMCO_2024.pdf,AAMCO TRANSMISSIONS LLC_2024.pdf,File not found
JSON,AAMCO_TRANSMISSIONS_LLC_AAMCO_2024_FranchiseInfo.json,AAMCO TRANSMISSIONS LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,AAMCO_TRANSMISSIONS_LLC_AAMCO_2024_Items1-23.pdf,AAMCO TRANSMISSIONS LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,AAMCO_TRANSMISSIONS_LLC_AAMCO_2024_Items1-23.pdf,AAMCO TRANSMISSIONS LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,ABBEY_CARPET_CO_INC_Abbey_Carpet_&_Floor_Showrooms_2024.pdf,"ABBEY CARPET CO., INC._2024.pdf",File not found
JSON,ABBEY_CARPET_CO_INC_Abbey_Carpet_&_Floor_Showrooms_2024_FranchiseInfo.json,"ABBEY CARPET CO., INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,ABBEY_CARPET_CO_INC_Abbey_Carpet_&_Floor_Showrooms_2024_Items1-23.pdf,"ABBEY CARPET CO., INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,ABBEY_CARPET_CO_INC_Abbey_Carpet_&_Floor_Showrooms_2024_Items1-23.pdf,"ABBEY CARPET CO., INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,ABCSP_LLC_Always_Best_Care_Senior_Services_2024.pdf,"ABCSP, LLC_2024.pdf",File not found
JSON,ABCSP_LLC_Always_Best_Care_Senior_Services_2024_FranchiseInfo.json,"ABCSP, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,ABCSP_LLC_Always_Best_Care_Senior_Services_2024_Items1-23.pdf,"ABCSP, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,ABCSP_LLC_Always_Best_Care_Senior_Services_2024_Items1-23.pdf,"ABCSP, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,ABC_Inc_abc_Seamless_2024.pdf,"ABC, INC_2024.pdf",File not found
JSON,ABC_Inc_abc_Seamless_2024_FranchiseInfo.json,"ABC, INC_2024_FranchiseInfo.json",File not found
Subfolder PDF,ABC_Inc_abc_Seamless_2024_Items1-23.pdf,"ABC, INC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,ABC_Inc_abc_Seamless_2024_Items1-23.pdf,"ABC, INC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,ABM_Franchising_Group_LLC_TEGG_2024.pdf,"ABM FRANCHISING GROUP, LLC_2024.pdf",File not found
JSON,ABM_Franchising_Group_LLC_TEGG_2024_FranchiseInfo.json,"ABM FRANCHISING GROUP, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,ABM_Franchising_Group_LLC_TEGG_2024_Items1-23.pdf,"ABM FRANCHISING GROUP, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,ABM_Franchising_Group_LLC_TEGG_2024_Items1-23.pdf,"ABM FRANCHISING GROUP, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,ABRA_Franchisor_SPV_LLC_ABRA_2024.pdf,ABRA FRANCHISOR SPV LLC_2024.pdf,File not found
JSON,ABRA_Franchisor_SPV_LLC_ABRA_2024_FranchiseInfo.json,ABRA FRANCHISOR SPV LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,ABRA_Franchisor_SPV_LLC_ABRA_2024_Items1-23.pdf,ABRA FRANCHISOR SPV LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,ABRA_Franchisor_SPV_LLC_ABRA_2024_Items1-23.pdf,ABRA FRANCHISOR SPV LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,ABS_Franchise_Services_Inc_A_Better_Solution_in_Home_Care_2024.pdf,"ABS FRANCHISE SERVICES, INC._2024.pdf",File not found
JSON,ABS_Franchise_Services_Inc_A_Better_Solution_in_Home_Care_2024_FranchiseInfo.json,"ABS FRANCHISE SERVICES, INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,ABS_Franchise_Services_Inc_A_Better_Solution_in_Home_Care_2024_Items1-23.pdf,"ABS FRANCHISE SERVICES, INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,ABS_Franchise_Services_Inc_A_Better_Solution_in_Home_Care_2024_Items1-23.pdf,"ABS FRANCHISE SERVICES, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,ACASA_Senior_Care_Franchising_Inc_ACASA_Senior_Care_-_Unit_Offering_2024.pdf,"ACASA SENIOR CARE FRANCHISING, INC._2024.pdf",File not found
JSON,ACASA_Senior_Care_Franchising_Inc_ACASA_Senior_Care_-_Unit_Offering_2024_FranchiseInfo.json,"ACASA SENIOR CARE FRANCHISING, INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,ACASA_Senior_Care_Franchising_Inc_ACASA_Senior_Care_-_Unit_Offering_2024_Items1-23.pdf,"ACASA SENIOR CARE FRANCHISING, INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,ACASA_Senior_Care_Franchising_Inc_ACASA_Senior_Care_-_Unit_Offering_2024_Items1-23.pdf,"ACASA SENIOR CARE FRANCHISING, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,Accelerated_Services_Franchise_LLC_Junkshot_Doorstep_Details_2024.pdf,"ACCELERATED SERVICES FRANCHISE, LLC_2024.pdf",File not found
JSON,Accelerated_Services_Franchise_LLC_Junkshot_Doorstep_Details_2024_FranchiseInfo.json,"ACCELERATED SERVICES FRANCHISE, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,Accelerated_Services_Franchise_LLC_Junkshot_Doorstep_Details_2024_Items1-23.pdf,"ACCELERATED SERVICES FRANCHISE, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,Accelerated_Services_Franchise_LLC_Junkshot_Doorstep_Details_2024_Items1-23.pdf,"ACCELERATED SERVICES FRANCHISE, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Accor_Franchising_US_LLC_MGallery_Hotel_Collection_2024.pdf,ACCOR FRANCHISING US LLC_2024.pdf,File not found
JSON,Accor_Franchising_US_LLC_MGallery_Hotel_Collection_2024_FranchiseInfo.json,ACCOR FRANCHISING US LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,Accor_Franchising_US_LLC_MGallery_Hotel_Collection_2024_Items1-23.pdf,ACCOR FRANCHISING US LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,Accor_Franchising_US_LLC_MGallery_Hotel_Collection_2024_Items1-23.pdf,ACCOR FRANCHISING US LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,Accurate_Leak_and_Line_LLC_Accurate_Leak_and_Line_2024.pdf,"ACCURATE LEAK AND LINE, LLC_2024.pdf",File not found
JSON,Accurate_Leak_and_Line_LLC_Accurate_Leak_and_Line_2024_FranchiseInfo.json,"ACCURATE LEAK AND LINE, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,Accurate_Leak_and_Line_LLC_Accurate_Leak_and_Line_2024_Items1-23.pdf,"ACCURATE LEAK AND LINE, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,Accurate_Leak_and_Line_LLC_Accurate_Leak_and_Line_2024_Items1-23.pdf,"ACCURATE LEAK AND LINE, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Ace_Handyman_Franchising_Inc_Ace_Handyman_Services_2024.pdf,"ACE HANDYMAN FRANCHISING, INC._2024.pdf",File not found
JSON,Ace_Handyman_Franchising_Inc_Ace_Handyman_Services_2024_FranchiseInfo.json,"ACE HANDYMAN FRANCHISING, INC._2024_FranchiseInfo.json",File not found
Items PDF,Ace_Handyman_Franchising_Inc_Ace_Handyman_Services_2024_Items1-23.pdf,"ACE HANDYMAN FRANCHISING, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,Ace_Pickleball_Club_Franchise_LLC_Ace_Pickleball_Club_2024.pdf,"ACE PICKLEBALL CLUB FRANCHISE, LLC_2024.pdf",File not found
JSON,Ace_Pickleball_Club_Franchise_LLC_Ace_Pickleball_Club_2024_FranchiseInfo.json,"ACE PICKLEBALL CLUB FRANCHISE, LLC_2024_FranchiseInfo.json",File not found
Items PDF,Ace_Pickleball_Club_Franchise_LLC_Ace_Pickleball_Club_2024_Items1-23.pdf,"ACE PICKLEBALL CLUB FRANCHISE, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Ace_Sushi_Franchise_Corporation_Ace_Sushi_(Non-Traditional)_2024.pdf,ACE SUSHI FRANCHISE CORPORATION_2024.pdf,File not found
JSON,Ace_Sushi_Franchise_Corporation_Ace_Sushi_(Non-Traditional)_2024_FranchiseInfo.json,ACE SUSHI FRANCHISE CORPORATION_2024_FranchiseInfo.json,File not found
Items PDF,Ace_Sushi_Franchise_Corporation_Ace_Sushi_(Non-Traditional)_2024_Items1-23.pdf,ACE SUSHI FRANCHISE CORPORATION_2024_Items1-23.pdf,File not found in Items folder
Main PDF,ACFN_Franchised_Inc_ACFN_2023.pdf,ACFN FRANCHISED INC._2023.pdf,File not found
JSON,ACFN_Franchised_Inc_ACFN_2023_FranchiseInfo.json,ACFN FRANCHISED INC._2023_FranchiseInfo.json,File not found
Subfolder PDF,ACFN_Franchised_Inc_ACFN_2023_Items1-23.pdf,ACFN FRANCHISED INC._2023_Items1-23.pdf,File not found in subfolder
Items PDF,ACFN_Franchised_Inc_ACFN_2023_Items1-23.pdf,ACFN FRANCHISED INC._2023_Items1-23.pdf,File not found in Items folder
Main PDF,ActiKare_Inc_ActiKare_In_Home_Care_Services_2024.pdf,"ACTIKARE, INC._2024.pdf",File not found
JSON,ActiKare_Inc_ActiKare_In_Home_Care_Services_2024_FranchiseInfo.json,"ACTIKARE, INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,ActiKare_Inc_ActiKare_In_Home_Care_Services_2024_Items1-23.pdf,"ACTIKARE, INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,ActiKare_Inc_ActiKare_In_Home_Care_Services_2024_Items1-23.pdf,"ACTIKARE, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,AD2019_Franchise_LLC_All_Dry_2024.pdf,"AD2019 FRANCHISE, LLC_2024.pdf",File not found
JSON,AD2019_Franchise_LLC_All_Dry_2024_FranchiseInfo.json,"AD2019 FRANCHISE, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,AD2019_Franchise_LLC_All_Dry_2024_Items1-23.pdf,"AD2019 FRANCHISE, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,AD2019_Franchise_LLC_All_Dry_2024_Items1-23.pdf,"AD2019 FRANCHISE, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,ADVANCED_FRESH_CONCEPTS_FRANCHISE_CORP_Zenshi_AFC_Advanced_Fresh_Concepts_Wild_Blue_2024.pdf,ADVANCED FRESH CONCEPTS FRANCHISE CORP_2024.pdf,File not found
JSON,ADVANCED_FRESH_CONCEPTS_FRANCHISE_CORP_Zenshi_AFC_Advanced_Fresh_Concepts_Wild_Blue_2024_FranchiseInfo.json,ADVANCED FRESH CONCEPTS FRANCHISE CORP_2024_FranchiseInfo.json,File not found
Items PDF,ADVANCED_FRESH_CONCEPTS_FRANCHISE_CORP_Zenshi_AFC_Advanced_Fresh_Concepts_Wild_Blue_2024_Items1-23.pdf,ADVANCED FRESH CONCEPTS FRANCHISE CORP_2024_Items1-23.pdf,File not found in Items folder
Main PDF,Advanced_Laser_Restoration_LLC_Advanced_Laser_Restoration_2024.pdf,"ADVANCED LASER RESTORATION, LLC_2024.pdf",File not found
JSON,Advanced_Laser_Restoration_LLC_Advanced_Laser_Restoration_2024_FranchiseInfo.json,"ADVANCED LASER RESTORATION, LLC_2024_FranchiseInfo.json",File not found
Items PDF,Advanced_Laser_Restoration_LLC_Advanced_Laser_Restoration_2024_Items1-23.pdf,"ADVANCED LASER RESTORATION, LLC_2024_Items1-23.pdf",File not found in Items folder
