Unnamed: 0_level_0,"Zoomin First Quartile For the Period January 1,","Groomin Vehicles of Franchisees 2023 to December 31,",2023,Parent ID,Page Number
Total Number of Outlets,| Average Annual Sales / (Median Annual Sales),| Highest and Lowest | Annual Sales,Number (%) of Vehicles that Met or Exceeded Average,,
3,"$256,800 ($249,755)","$271,881 - $248,764",1 33%),919838d68d06e0010194996a51492ce8,1
